id,Title,URL du logo,URL de site web,Village,Resume,Theme
11,Angers Technopole,https://www.levillagebyca.com/sites/default/files/2019-06/-angers-technopole-logo.png,https://www.angerstechnopole.com/,Angers,"Plus de 30 ans d’expérience, une expertise avérée, une méthodologie rigoureuse, des dispositifs et outils en phase avec vos besoins sont autant d’atouts qu’Angers Technopole met à votre disposition dans l’accompagnement de votre projet d’innovation.

Angers Technopole est ancrée dans le tissu économique et académique local et largement reconnue pour ses compétences et son expertise en matière d’innovation.",
12,Action Relay,https://www.levillagebyca.com/sites/default/files/2019-06/action-relay_0.png,https://www.actionrelay.com/,Brie Picardie,"Action Relay est une agence de communication innovante, spécialisée dans la communication digitale, événementielle et production audiovisuelle.",
13,France Tourisme Lab,https://www.levillagebyca.com/sites/default/files/2019-06/france%20tourisme%20lab_0.png,https://www.entreprises.gouv.fr/tourisme,Brie Picardie,"France Tourisme Lab a l’ambition de stimuler l’innovation touristique sur l’ensemble du territoire, pour que la France reste à la pointe des tendances et fasse réussir la nouvelle génération d’entrepreneurs du tourisme !
En ce sens, le réseau a pour vocation d’accompagner et de fédérer des structures d’accompagnement de startups, toutes spécialisées dans 1 ou 2 filières spécifiques du tourisme, un positionnement décidé en fonction de la stratégie touristique régionale et garant, pour chaque créateur d’entreprise, d’un accompagnement optimal et personnalisé.
France Tourisme Lab compte aujourd’h","Tourisme, Tourisme"
14,LOHR,https://www.levillagebyca.com/sites/default/files/2019-06/LOHR_3.jpg,https://lohr.fr/fr/,Alsace Vosges,"LOHR est un groupe privé français installé en Alsace près de Strasbourg, spécialiste mondial depuis plus de 50 ans dans la conception, la fabrication et la commercialisation de systèmes de transports de biens.","Mobilité, Transport"
15,Archicréa DP,https://www.levillagebyca.com/sites/default/files/2019-06/Archicr%C3%A9a_0.jpg,http://www.archicreadp.com/,Brie Picardie,"ARCHICRÉA DP, atelier d’architecture, a été créé par Hervé POSNIC, président, et Jean DO NASCIMENTO, directeur général, tous deux Architectes D.P.L.G.

Les deux associés travaillent ensemble depuis 1995.

L’agence est constituée de 20 collaborateurs, équipe pluridisciplinaire qui réunit architectes, urbanistes, architectes d’intérieur, économistes et paysagistes.

L’agence ARCHICRÉA DP est implantée à Paris, en Ile de France et dans le sud de la France à Montpellier, ce qui lui permet d’être présente sur l’ensemble du territoire.

La spécificité principale de la société ARCHICREA DP se trouve","Immobilier, Logement"
16,Réside Études,https://www.levillagebyca.com/sites/default/files/2019-06/NOUVEAU_LOGO_RESIDE_ETUDES_0.png,https://www.reside-etudes-invest.com/,Brie Picardie,"En partenariat avec les élus et les aménageurs, le Groupe Réside Études propose des résidences en accord avec la politique des villes et contribue ainsi à l’équipement des départements, des régions et des territoires. 
Résolument tourné vers l’humain, Réside Études, attentif à un monde qui se transforme et aux nouveaux comportements, a créé des produits locatifs novateurs devenus des modèles dans le paysage urbain d’aujourd’hui et de demain.",
17,CALCULUS INTERNATIONAL,https://www.levillagebyca.com/sites/default/files/2019-06/CALCULUS_0.png,https://www.calculus-international.fr/,Alsace Vosges,Calculus est un cabinet d’expertise comptable qui met en avant la proximité avec ses clients avec comme règle d’or de pouvoir compter sur eux au niveau du savoir-faire et du savoir-être ! Calculus International est un acteur reconnu dans le domaine de la création d’entreprise classique ou High-tech.,"Consulting, Finance, Autres"
18,2CRSI,https://www.levillagebyca.com/sites/default/files/2019-06/2CRSI_0.PNG,https://2crsi.fr/2crsi-2/,Alsace Vosges,"2CRSI est une société française spécialisée dans la recherche, la conception et la fabrication de serveurs et de solutions informatiques. 2CRSI possède une expertise en solutions de stockage, de calculs intensifs, serveurs dédiés et systèmes convergents.",Web
19,CKD,https://www.levillagebyca.com/sites/default/files/2019-06/CKD_0.jpg,https://www.ckd-eg.com/,Alsace Vosges,"CKD exerce son activité en conception, construction et réhabilitation, pour des clients publics et privés, dans les domaines tels que les logements, le tourisme, la santé, l’industrie et le tertiaire.",Btp
20,Indosuez Wealth Management,https://www.levillagebyca.com/sites/default/files/2019-06/te%CC%81le%CC%81chargement.png,https://www.ca-indosuez.com/france/fr/,Ille et Vilaine,Indosuez Wealth Management est la filiale internationale de gestion de fortune du groupe Crédit agricole.,Autres
21,Make the Grade,https://www.levillagebyca.com/sites/default/files/2019-06/logo-mtg%403x%20%282%29.png,https://www.makethegrade.fr/,Ille et Vilaine,"Make the Grade est une agence marketing spécialisée dans la conception de sites internet, la mise en œuvre d'actions marketing modernes et l'installation d'outils d'automatisation et de vente.

Partenaire du logiciel HubSpot, nous déployons la plateforme pour nos clients.","Réseaux Sociaux, Webmarketing, Autres"
22,Suntec Industries,https://www.levillagebyca.com/sites/default/files/2019-06/logo_0.png,http://www.suntec.fr/,Champagne Bourgogne,"SUNTEC conçoit, fabrique et commercialise une gamme inégalée de pompes à engrenages et accessoires.

Partenaire des plus grands constructeurs de chauffage (domestique, industriel, mobile et embarqué), SUNTEC propose également des solutions techniques pour toutes les applications utilisant une pompe à engrenage (nettoyeurs haute pression, systèmes de dépollution, systèmes hydrauliques,…)

Grâce à ses deux sites de production, l’un aux Etats-Unis dans le Kentucky, l’autre en Europe, en France, au cœur de la Bourgogne, SUNTEC a su tisser un réseau mondial de clients et distributeurs.

La qualité,","Énergie et environnement, Industrie"
23,Touroude & Associates,https://www.levillagebyca.com/sites/default/files/2019-06/touroude%20%26%20associates_0.PNG,,Brie Picardie,"YesMyPatent a été conçu pour les innovateurs qui veulent protéger leur invention facilement, rapidement et au meilleur rapport qualité prix. Notre mission est de rendre la protection des inventions par un brevet accessible à tous !",
24,Bizouard,https://www.levillagebyca.com/sites/default/files/2019-06/bizouard_0.jpg,,Brie Picardie,"BIZOUARD est un cabinet d’expertise comptable et de commissariat aux comptes dirigé par quatre associés.
Le cabinet est composé d’environ 120 collaborateurs répartis sur 4 sites en Seine-et-Marne et un site dans le centre de Paris. La diversité de leurs profils nous permet de proposer des services auprès de TPE, PME dans des secteurs variés : agricole,  hôtellerie, immobilier, BTP, mais aussi professions libérales, associations, commerce...
 
Nos clients nous ont témoigné leur confiance depuis plus de 70 ans.",
25,Sas,https://www.levillagebyca.com/sites/default/files/2019-05/SAS_logo_horiz.svg__0.png,https://www.sas.com/it_it/home.html,Milano,,
26,Parmalat,https://www.levillagebyca.com/sites/default/files/2019-05/parmalat%20low_0.png,http://www.parmalat.net,Milano,,
27,Mastercard,https://www.levillagebyca.com/sites/default/files/2019-05/Mastercard_0.png,https://www.mastercard.it/it-it.html,Milano,,
28,Ferrovie dello Stato Italiane,https://www.levillagebyca.com/sites/default/files/2019-05/ferrovie_0.jpg,https://www.fsitaliane.it/,Milano,,
29,Enel,https://www.levillagebyca.com/sites/default/files/2019-05/enelow_0.png,https://www.enel.it/,Milano,,
30,Cerved,https://www.levillagebyca.com/sites/default/files/2019-05/cerved_0.png,https://www.cerved.com/it,Milano,,
31,Video Telling,https://www.levillagebyca.com/sites/default/files/2019-05/videotelling_0.jpg,,Brie Picardie,"VideoTelling est une agence de communication digitale en vidéo, leader français de la vidéo pédagogique dessinée, créée en 2014 par un spécialiste du marketing digital. La société crée et produit des vidéos pédagogiques dessinées, courtes (durée moyenne: 2 minutes), à un tarif forfaitisé attractif (entre 3000 € et 8000 €), ainsi que des modules de e-learning (entre 8000 et 40000 €). Une création artistique adaptée, un style léger et un format court assurent l’efficacité du message.",Webmarketing
32,SNIE,https://www.levillagebyca.com/sites/default/files/2019-05/SNIE_0.png,http://www.snie.fr/WD160AWP/WD160Awp.exe/CONNECT/SNIE?_WWREFERER_=https%3A//www…,Brie Picardie,"Créée en 1966, la SNIE est spécialisée dans la conception et la réalisation d'installations électriques dans les domaines de l'habitat et du bâtiment (essentiellement logements collectifs neufs). 
Elle est leader dans son domaine d’activités (plus de 500 salariés – plus de 9000 logements traités par an, chiffre d’affaires avoisinant les 50 millions d’euros annuels).","Énergie et environnement, Logement, Construction, Logement, Énergie et environnement"
33,Axone Promotion,https://www.levillagebyca.com/sites/default/files/2019-05/Axone_2.png,http://www.axone-promotion.com/,Brie Picardie,"Créée en 2012, Axone Promotion est un promoteur immobilier qui réalise des opérations de logements et de bureaux sur toute l’Ile-de-France. La société se divise en trois entités : Axone Promotion qui constitue l’ensemble des équipes projets, Ax’Home, filiale dédiée à la commercialisation des biens et Axone RDI, filiale R&D, est le laboratoire de conception et de veille technologique.",
34,Axone Pormotion,https://www.levillagebyca.com/sites/default/files/2019-05/Axone_0.png,,,"Créée en 2012, Axone Promotion est un promoteur immobilier qui réalise des opérations de logements et de bureaux sur toute l’Ile-de-France. La société se divise en trois entités : Axone Promotion qui constitue l’ensemble des équipes projets, Ax’Home, filiale dédiée à la commercialisation des biens et Axone RDI, filiale R&D, est le laboratoire de conception et de veille technologique.",
35,Vidéotelling,https://www.levillagebyca.com/sites/default/files/2019-05/logo-videotelling-min.jpg,,Languedoc,,
36,Holding Tissot,https://www.levillagebyca.com/sites/default/files/2019-05/New_Holding-Tissot-2016.png,,Languedoc,,
37,JVWeb,https://www.levillagebyca.com/sites/default/files/2019-05/JVWeb.png,,Languedoc,,
38,Vinci Facilities,https://www.levillagebyca.com/sites/default/files/2019-05/VINCI%20FACILITIES-01.png,,Languedoc,,
39,Groupe Valeco,https://www.levillagebyca.com/sites/default/files/2019-05/logo_valeco.png,,Languedoc,,
40,PVB Avocats,https://www.levillagebyca.com/sites/default/files/2019-05/LOGO_PVB.jpg,,Languedoc,,
41,Promeo,https://www.levillagebyca.com/sites/default/files/2019-05/LOGOS-PROMEO-On%20pense%20comme%20vous-05.png,,Languedoc,,
42,Midi Libre,https://www.levillagebyca.com/sites/default/files/2019-05/logo%20ML%20PNG.png,,Languedoc,,
43,COMECA,https://www.levillagebyca.com/sites/default/files/2019-05/logo_comeca-min.jpg,,Languedoc,,
44,ORCHESTRA,https://www.levillagebyca.com/sites/default/files/2019-05/logo-orchestra.png,,Languedoc,Orchestra : vêtements enfants et bébés 0-14 ans. Créateur depuis 20 ans des magasins adaptés aux besoins des parents.,
45,Crédit Agricole Brie Picardie,https://www.levillagebyca.com/sites/default/files/2019-05/cr%C3%A9dit%20agricole%20brie%20picardie_0.jpg,https://www.ca-briepicardie.fr/,Brie Picardie,"Le Crédit Agricole Brie Picardie accompagne plus d’un million de clients et 357 000 sociétaires avec une gamme de produits et services financiers, adaptée à tous : particuliers, entreprises et professionnels, agriculteurs, institutions, collectivités publiques et associations.","Agriculture, Finance, Agriculture et Agroalimentaire"
46,EpaMarne - EpaFrance,https://www.levillagebyca.com/sites/default/files/2019-05/LOGO_EPAMARNE_EPAFRANCE_RVB_0.jpg,https://www.epamarne-epafrance.fr/,Brie Picardie,"Aménageurs de référence de l’Est parisien, historiquement liés à la ville nouvelle de Marne-la-Vallée, EpaMarne-EpaFrance interviennent aujourd’hui sur un périmètre élargi de 44 communes sur 3 départements (77, 93 et 94), dans un cadre d’intervention diversifié et pour une variété de commanditaires : opérations d’intérêt national, actions en initiative propre, traités de concession, filiales communes avec les collectivités.","Immobilier, Logement, Logement"
47,Real Estech,https://www.levillagebyca.com/sites/default/files/2019-05/Real%20Estech%20Logo_0.png,,Brie Picardie,Real Estech est une association loi 1901 qui poursuit deux objectifs : organiser une quinzaine d’événements par an dans toute la France faisant se rencontrer startups et professionnels de l’immobilier (3000 participants par an) et produire des études sur la transformation du secteur (baromètre annuel et mission confiée par J.Denormandie sur l’accélération de l’innovation dans le logement). L’association réunit la plus grosse communauté de startups de l’immobilier (250+).,"Événementiel, Immobilier, Logement, Logement"
48,Odalys,https://www.levillagebyca.com/sites/default/files/2019-05/ODALYS-GROUPE_0.png,,Brie Picardie,"En seulement 20 ans d’existence, le Groupe Odalys s’est hissé au second rang européen sur le marché de l’hébergement touristique et de loisirs. Chaque année, plus de deux millions de vacanciers séjournent dans l’une des 400 résidences du groupe en France et en Europe du sud.","Loisirs, Voyage, Tourisme, Tourisme"
49,Groupe Duval,https://www.levillagebyca.com/sites/default/files/2019-05/Groupe%20Duval_0.jpg,,Brie Picardie,"Fondé par Éric Duval, codirigé avec sa fille Pauline Duval, le Groupe Duval est un acteur familial français de l’immobilier. Il emploie plus de 3500 collaborateurs pour un chiffre d’affaires de 700 millions d’euros.

Dans le cadre de sa stratégie d’innovation, le Groupe Duval a mis en place il y a 5 ans une structure d’investissement qui a pour vocation de réaliser des prises de participation minoritaires dans des sociétés en phase d’amorçage à fort potentiel de développement.","Immobilier, Logement, Construction, Logement"
50,PHILIPS,https://www.levillagebyca.com/sites/default/files/2019-05/Philips-Shield.jpg,https://www.philips.fr,,"Koninklijke Philips N.V., plus connu sous le nom de la société Philips, stylisé PHILIPS et coté en bourse sous le nom Royal Philips , est une société de technologie néerlandaise, basée à Amsterdam. Elle fait partie des plus grands groupes en matière d'électroménager, d’équipement médical et d’éclairage au monde.",Informatique et électronique
51,MICROSOFT,https://www.levillagebyca.com/sites/default/files/2019-05/Microsoft-PESTEL-Analysis_0.jpg,https://www.microsoft.com/france/microsoft-en-france/,Toulouse,"Microsoft Corporation est une multinationale informatique et micro-informatique américaine, fondée en 1975 par Bill Gates et Paul Allen. Son activité principale consiste à développer et vendre des systèmes d’exploitation, des logiciels et des produits matériels dérivés. En 2016, le chiffre d'affaires s’élevait à 89,95 milliards de dollars. L'entreprise emploie 120 000 personnes dans 107 pays.",Informatique et électronique
52,LEXT AVOCATS,https://www.levillagebyca.com/sites/default/files/2019-04/Sans%20titre%20%287%29.png,http://www.lext.fr/,Morbihan,"LEXT est un cabinet d’avocats spécialisé en droit des affaires, créé il y a plus de cinq ans maintenant. LEXT comprend des implantations à Paris, Le Mans, Rennes et Vannes. Ses bureaux de Rennes et Vannes ont été créés en 2016 et comprennent quatre associés : Mickaël Goupil, Pierre-Lucas Thirion, Anne-Carole Tanguy et Hélène Magineau. Le cabinet LEXT comprend au total, sur ses différentes implantations, 10 associés, 2 of counsels, et leurs collaborateurs.",
53,ISATECH,https://www.levillagebyca.com/sites/default/files/2019-04/isatech-mini.png,https://www.isatech.fr/,Morbihan,"Isatech est une ESN (Entreprise de services du Numérique) qui compte 230 salariés répartis sur 7 sites (Vannes (siège social), Nantes, Rennes, Paris, Porto, Lisbonne, Tunis) et qui génère un chiffre d’affaires consolidé de 22M€. Elle se positionne désormais comme une entreprise du futur, foncièrement tournée vers l’innovation, la formation et le bien-être de ses salariés.",
54,Groupe DIS,https://www.levillagebyca.com/sites/default/files/2019-04/logo_SIAM_HD_FR_0.png,http://www.siam-montage.com/,Angers,"Le groupe DIS est un groupe indépendant constitué de 3 sociétés développant des savoir-
faire spécifiques : SIAM, assembleur de solutions techniques présent à Château-Gontier (53)
et Daumeray (49) ; ARTECH, chaudronnerie industrielle au savoir-faire reconnu présent à
Meslay du Maine (53) ; SA2M, usine de transformation des profilés aluminium, présent à
Seiches sur le Loir (49).",
55,ISATECH,https://www.levillagebyca.com/sites/default/files/2019-04/Sans%20titre%20%286%29.png,https://www.isatech.fr/,,"Isatech est une ESN (Entreprise de services du Numérique) qui compte 230 salariés répartis sur 7 sites (Vannes (siège social), Nantes, Rennes, Paris, Porto, Lisbonne, Tunis) et qui génère un chiffre d’affaires consolidé de 22M€. Elle se positionne désormais comme une entreprise du futur, foncièrement tournée vers l’innovation, la formation et le bien-être de ses salariés.",
56,My Huis Cie,https://www.levillagebyca.com/sites/default/files/2019-08/27750592_1899774133426624_6186100772224046229_n.jpg,https://www.myhuis.fr/home,Rouen Vallée de Seine,"MyHuisCie est la première société coopérative d’Huissiers de Justice.

➢ Elle compte 66 études adhérentes (Juin 2019), soit environ 220 huissiers,réparties sur tout le territoire national.
➢ Depuis Juin 2018, la coopérative a mis en ligne la plateforme Myhuis.fr qui permet :
o l’échange d’actes entre huissiers de justice, avocats et greffiers
o la possibilité de bénéficier de tarifs préférentiels auprès d’une centrale d’achats (fournitures de bureau, matériel…)
➢ L’inscription et l’utilisation de la plateforme sont gratuites pour les professionsjuridiques concernées.
➢ Les enjeux d’une telle",
57,VINCI FACILITIES,https://www.levillagebyca.com/sites/default/files/2019-04/logo%20b%3Dvinci%20hd_0.jpg,https://www.vinci-facilities.com/,Rouen Vallée de Seine,"Notre vision du Facility Management
Une maîtrise globale de vos besoins actuels et futurs pour vous accompagner
durablement et contribuer à votre performance",
58,Medical Training Center,https://www.levillagebyca.com/sites/default/files/2019-04/MTC-logo-petit_0.png,https://www.mtc-rouen.com/,Rouen Vallée de Seine,"Le Medical Training Center offre un large panel des techniques médicales de pointe dans des conditions optimales :
Notre ambition :
• Former à des procédures, à des gestes ou à la prise en charge de situations à risque par l’utilisation d’un matériel, d’un mannequin ou d’un simulateur
• Acquérir ou actualiser des compétences
• Analyser ses pratiques professionnelles
Et plus généralement, développer les capacités dans le domaine du travail en équipe pluridisciplinaire et dans celui des relations patient.",
59,BARREAU DE ROUEN,https://www.levillagebyca.com/sites/default/files/2019-04/logo-barreau-rouen_0.png,https://www.barreau-rouen.avocat.fr/,Rouen Vallée de Seine,"Les Avocats font nécessairement partie d'un barreau établi auprès d'un Tribunal de Grande Instance ou éventuellement, de plusieurs de ses Tribunaux. Il existe un Barreau par T.G.I. et nul ne peut exercer la profession d’Avocat s’il n’est inscrit auprès d’un Barreau. Chaque Barreau est administré par un Conseil de l’Ordre élu pour trois ans au scrutin secret par : Les Avocats inscrits au tableau de ce Barreau, Les Avocats honoraires dudit Barreau.",
60,ESIGELEC,https://www.levillagebyca.com/sites/default/files/2019-04/thumbnail_large_0.png,http://www.esigelec.fr/fr,Rouen Vallée de Seine,"L’ESIGELEC forme des ingénieurs-es  généralistes dans le domaine des Systèmes Intelligents et Connectés, allant de l’Electronique automobile aéronautique, de l’Informatique, jusqu’à l’Energie, la Robotique ou encore au Biomédical, etc… Son programme est basé sur une pédagogie par projet, permettant la constitution d’un véritable projet personnel et professionnel. Il inclut une forte dimension internationale, innovation et entrepreneuriale.

Vous pouvez accéder au  Programme Ingénieur de l’ESIGELEC après Bac (cursus en 5 ans),  Bac+2/3 (3 ans) ou Bac+4 (2 ans).",
61,CESI,https://www.levillagebyca.com/sites/default/files/2019-04/cesi-logo_0.png,https://www.cesi.fr/,Rouen Vallée de Seine,"Campus d’enseignement supérieur et de formation professionnelle, CESI poursuit sa mission sociétale en permettant à des étudiants, alternants et salariés de devenir acteurs des transformations des entreprises et de la société, grâce à ses Écoles d’Ingénieurs, son École Supérieure de l’Alternance, son École de Formation des Managers et son activité de Certification.",
62,AGENCE NORMANDIE TRADUCTION,https://www.levillagebyca.com/sites/default/files/2019-04/logo_a4traduction_0.png,https://a4traduction.com/agence-traduction-rouen,Rouen Vallée de Seine,"AGENCE NORMANDIE TRADUCTION

A4TRADUCTION traite tous les aspects de la traduction : toutes les langues, toutes les spécialités (traduction technique, marketing, financière, juridique, médicale...), traductions assermentées, transcriptions audio et vidéo, interprétariat consécutif ou simultané, avec ou sans matériel.",
63,NORMANDIE MANUTENTION,https://www.levillagebyca.com/sites/default/files/2019-04/logo%20%281%29_0.png,http://www.normandiemanutention.fr/accueil.html,Rouen Vallée de Seine,"Pour votre manutention, vous attendez un partenaire souple et performant qui sache s'engager dans la durée au service du développement de votre entreprise. C'est pourquoi Normandie Manutention n'a eu de cesse depuis 1979 de s'agrandir et d'étoffer sa palette de services et de solutions pour couvrir vos besoins de manutention de A à Z et vous faire bénéficier des dernières innovations technologiques.",
64,ORIL INDUSTRIE,https://www.levillagebyca.com/sites/default/files/2019-04/22549844_501476473552975_8486586431586058874_n_0.png,http://servier.fr,Rouen Vallée de Seine,"Oril Industrie, site de production et de recherche industrielle du Groupe Servier en Normandie avec plus de 50 ans d'expérience en chimie fine pharmaceutique.

Oril Industrie, filiale du groupe pharmaceutique Servier, installée à Bolbec (Seine-Maritime) avec 750 salariés;",
65,Dyvem,https://www.levillagebyca.com/sites/default/files/2019-04/207x161%20Dyvem-01.png,https://dyvem.com/,Atlantique Vendee,"Dyvem accompagne ses clients, entreprises logistiques et industrielles innovantes, dans la construction et la mise en œuvre de ses projets d’innovation, transformation digitale et business developpement.

Intégrés dans vos équipes, les profils, issus de grands groupes industriels avec une expérience entrepreneuriale forte, possèdent les compétences techniques, management et marketing.","Marketing, Énergie et environnement, Développement durable, Transport"
66,Chambre Régionale d'Agriculture Pays de la Loire,https://www.levillagebyca.com/sites/default/files/2019-04/207x161%20Chambre%20agri-01.png,https://pays-de-la-loire.chambres-agriculture.fr/,Atlantique Vendee,"La Chambre d'agriculture Pays de la Loire est une structure représentative et un outil de développement à la dimension de la région, un outil au service de toute une profession. Elle conduit 3 grandes missions : Représentante de l’agriculture L'échelon régional permet d'appréhender de façon pertinente la problématique agricole et de définir des orientations, tant sur le plan économique que sur celui de l’aménagement d’un territoire.","Agro-Agri, Agriculture, Food tech, Pêche, Sylviculture, Agriculture et Agroalimentaire"
67,Convivio,https://www.levillagebyca.com/sites/default/files/2019-04/207x161%20Convivio-01.png,https://www.convivio.fr/,Atlantique Vendee,"Groupe familial de restauration, Convivio est devenu en plus de 35 ans le 1er groupe indépendant de restauration sur le grand tiers ouest de la France. Le groupe est reconnu pour sa capacité à s'adapter aux exigences clients et pour la forte réactivité des équipes de terrain.","Agro-Agri, Food tech, Événementiel, Cuisine"
68,Goupe DUBREUIL,https://www.levillagebyca.com/sites/default/files/2019-04/207x61%20Dubreuil-01.png,https://www.groupedubreuil.com/,Atlantique Vendee,"Le groupe Dubreuil est un groupe familial diversifié qui s’est développé il y a près de 95 ans à partir de la Vendée.
Aujourd’hui premier groupe vendéen en matière de chiffre d'affaires, le groupe Dubreuil s’est recentré autour de 6  activités :Distribution automobile,  transport aérien, énergie, matériel BTP, machinisme agricole et Hotellerie & immobilier.","Agro-Agri, Énergie et environnement, Btp, Immobilier, Transport, Tourisme"
69,TGS France,https://www.levillagebyca.com/sites/default/files/2019-04/207x161%20TGS-01_0.png,,Atlantique Vendee,"TGS France est l’enseigne du Groupe Soregor dédiée à l’accompagnement des PME, ETI, associations et entités publiques dans les domaines de l’audit, du droit et du conseil. Notre vocation : sécuriser votre transformation et fabriquer votre succès, au travers d’une offre de services pluridisciplinaire mise en œuvre par des experts reconnus.",Finance
70,BRINKS,https://www.levillagebyca.com/sites/default/files/2019-04/207x161%20Brinks-01.png,https://www.brinks.fr,Atlantique Vendee,"Pionnier de la sécurité et inventeur de l’ingénierie fiduciaire, Brink’s est à l’origine du transport de fonds, du traitement de valeurs et de la gestion des automates bancaires en France.

L’entreprise a aussi su se diversifier en intégrant en 1974, à partir du territoire français, le transport international de valeurs sous le nom de Brink’s Global Services et, dès 1985, la sûreté aéroportuaire.","Finance, Fintech"
71,CEA TECH,https://www.levillagebyca.com/sites/default/files/2019-04/cea%20tech.jpg,http://www.cea-tech.fr/cea-tech/Pages/en-regions/prtt-pays-de-la-loire.aspx,Atlantique Vendee,"La recherche technologique est un maillon essentiel de la chaîne de l’innovation et une étape incontournable​ du processus de création de valeur. C’est cette conviction et 50 années d’histoire jalonnées de succès qui animent CEA Tech. CEA Tech est la direction de la « recherche technologique » du CEA, historiquement située en région Auvergne-Rhône-Alpes et en région Ile de France.","Développement humain et économique, Industrie, Informatique et électronique, Intelligence artificielle, IOT, Big data"
72,SNCF Mobilités,https://www.levillagebyca.com/sites/default/files/2019-03/SNCF%20mobilit%C3%A9s%20village%20by%20ca%20nevers.jpg,,Nevers,Le Technicentre Industriel SNCF de Nevers (58) est dédié à la rénovation et à la maintenance du matériel roulant de la SNCF. Il s’agit du plus grand Technicentre de France. L’établissement est important et stratégique tant par sa taille que par son activité sur le plan national. Ses activités vont de la révision des pièces détachées à la modernisation des rames.,"Énergie et environnement, Mobilité"
